Wins,Losses,Ties,MoneyWonLost
0,1,0,990.0
0,2,0,980.0
1,2,0,1000.0
2,2,0,1020.0
2,3,0,1010.0
3,3,0,1030.0
4,3,0,1050.0
5,3,0,1070.0
6,3,0,1090.0
7,3,0,1110.0
8,3,0,1130.0
9,3,0,1150.0
10,3,0,1170.0
10,3,1,1170.0
10,4,1,1160.0
10,4,2,1160.0
10,5,2,1150.0
11,5,2,1170.0
12,5,2,1190.0
13,5,2,1210.0
13,6,2,1200.0
13,7,2,1190.0
14,7,2,1210.0
15,7,2,1230.0
15,8,2,1220.0
15,9,2,1210.0
15,10,2,1200.0
15,11,2,1190.0
16,11,2,1210.0
17,11,2,1230.0
18,11,2,1250.0
19,11,2,1270.0
19,12,2,1260.0
19,13,2,1250.0
20,13,2,1270.0
20,14,2,1260.0
20,15,2,1250.0
21,15,2,1270.0
22,15,2,1290.0
22,16,2,1280.0
22,17,2,1270.0
22,18,2,1260.0
22,18,3,1260.0
23,18,3,1280.0
24,18,3,1300.0
25,18,3,1320.0
26,18,3,1340.0
27,18,3,1360.0
27,19,3,1350.0
27,20,3,1340.0
27,21,3,1330.0
27,22,3,1320.0
27,23,3,1310.0
27,24,3,1300.0
27,25,3,1290.0
27,26,3,1280.0
27,26,4,1280.0
27,27,4,1270.0
27,28,4,1260.0
28,28,4,1280.0
29,28,4,1300.0
29,29,4,1290.0
29,30,4,1280.0
29,31,4,1270.0
