Wins,Losses,Ties,MoneyWonLost
0,0,1,1000.0
1,0,1,1200.0
2,0,1,1400.0
2,0,2,1400.0
2,1,2,1375.0
3,1,2,1425.0
4,1,2,1475.0
4,2,2,1450.0
5,2,2,1470.0
5,2,3,1470.0
5,3,3,1460.0
6,3,3,1480.0
7,3,3,1500.0
7,4,3,1475.0
7,5,3,1450.0
7,6,3,1425.0
8,6,3,1475.0
9,6,3,1525.0
9,7,3,1500.0
9,8,3,1475.0
9,9,3,1450.0
9,9,4,1450.0
10,9,4,1500.0
11,9,4,1550.0
11,10,4,1525.0
11,11,4,1425.0
11,12,4,1325.0
12,12,4,1525.0
13,12,4,1725.0
13,13,4,1625.0
14,13,4,1825.0
15,13,4,2025.0
16,13,4,2075.0
16,14,4,2050.0
17,14,4,2100.0
17,15,4,2075.0
18,15,4,2125.0
19,15,4,2175.0
20,15,4,2225.0
21,15,4,2275.0
22,15,4,2325.0
23,15,4,2525.0
24,15,4,2725.0
24,16,4,2700.0
24,17,4,2600.0
24,18,4,2500.0
25,18,4,2700.0
25,19,4,2600.0
25,20,4,2500.0
25,21,4,2400.0
